iter	Logloss
0	0.5723440552
1	0.4923121134
2	0.4442588806
3	0.3962544505
4	0.3610444641
5	0.3414646403
6	0.3238335673
7	0.3078829702
8	0.2948445638
9	0.2862721761
10	0.2794952138
11	0.2727400462
12	0.2667812093
13	0.2628271993
14	0.2588317362
15	0.2576175435
16	0.2551421102
17	0.2522058614
18	0.2506563568
19	0.2486523438
20	0.2467295074
21	0.2449385834
22	0.2441222127
23	0.2430097453
24	0.2418239848
25	0.2405895233
26	0.2398296102
27	0.2389202627
28	0.237639974
29	0.2371455892
30	0.2364107513
31	0.2353609212
32	0.2346471405
33	0.2341877747
34	0.2336958567
35	0.2332111613
36	0.232322286
37	0.231736145
38	0.2307380676
39	0.2300319417
40	0.2296121724
41	0.228958842
42	0.2283511861
43	0.2278396098
44	0.2271861776
45	0.2267047882
46	0.2263500977
47	0.2259907532
48	0.2257158915
49	0.2253929901
50	0.2247921753
51	0.224356486
52	0.2239807638
53	0.2235677592
54	0.2229138184
55	0.2225571696
56	0.2221841939
57	0.2219612885
58	0.2217003886
59	0.2213320923
60	0.2209327952
61	0.2203097534
62	0.2200401052
63	0.2197170003
64	0.2194651286
65	0.2191159058
66	0.218732961
67	0.2182996368
68	0.2179728444
69	0.2174152374
70	0.2171828715
71	0.2168996175
72	0.2166823578
73	0.2163070424
74	0.2158736165
75	0.2155150096
76	0.2153577423
77	0.215116806
78	0.2147881826
79	0.2144410197
80	0.2140784709
81	0.2138647715
82	0.2134819794
83	0.2130587769
84	0.21274779
85	0.212257576
86	0.2120177333
87	0.2118242264
88	0.2116246796
89	0.2112271881
90	0.2107386017
91	0.210458463
92	0.2101445007
93	0.2098400625
94	0.2096654129
95	0.2092632802
96	0.2089822261
97	0.2087311045
98	0.2085362498
99	0.208259608
100	0.2079024378
101	0.2076727041
102	0.2072723897
103	0.2070411682
104	0.206459376
105	0.2061480331
106	0.2058585103
107	0.2053719584
108	0.2049851735
109	0.2045594788
110	0.2041048177
111	0.2038908005
112	0.2035005951
113	0.2032256317
114	0.2029197057
115	0.2025428391
116	0.2021247991
117	0.2017760976
118	0.201547877
119	0.2011662165
120	0.2009216563
121	0.2005751419
122	0.2002317301
123	0.1998574702
124	0.1995191956
125	0.199100469
126	0.198649826
127	0.1982486725
128	0.1979872386
129	0.1977116903
130	0.1972713979
131	0.1969093831
132	0.1965561676
133	0.1962792206
134	0.1959251404
135	0.1957283656
136	0.1954735184
137	0.1950934092
138	0.1945546595
139	0.1942696126
140	0.1939275614
141	0.1936155701
142	0.1933603414
143	0.193054924
144	0.1927285258
145	0.1923923492
146	0.1921510442
147	0.1918133163
148	0.1915808105
149	0.1913463593
150	0.1911287435
151	0.1908061727
152	0.1906127421
153	0.1903321584
154	0.1900565847
155	0.1897849401
156	0.1895337931
157	0.1891984558
158	0.1888556671
159	0.1884983317
160	0.1879924393
161	0.1877741241
162	0.1875666809
163	0.1873382823
164	0.1870277405
165	0.1867822774
166	0.1864865621
167	0.1859894816
168	0.1857783
169	0.1854670207
170	0.1852975718
171	0.1851138814
172	0.1849369812
173	0.1846989059
174	0.1844327164
175	0.1842092896
176	0.1840909068
177	0.183895429
178	0.1836423747
179	0.1834183502
180	0.1832434972
181	0.1829217784
182	0.1825763194
183	0.1821997833
184	0.1819101969
185	0.181634407
186	0.1813692602
187	0.1812226741
188	0.1810395177
189	0.1808172226
190	0.1805960846
191	0.1803127289
192	0.1800103251
193	0.1797848384
194	0.179566892
195	0.1793970235
196	0.1791302236
197	0.1787434387
198	0.1784794871
199	0.1782814153
200	0.1780368296
201	0.1778597768
202	0.1775993601
203	0.1773437881
204	0.1770289866
205	0.1766998545
206	0.1764791743
207	0.176392924
208	0.1760255051
209	0.1758243561
210	0.1756403097
211	0.1752718608
212	0.1751223882
213	0.1748238881
214	0.1746648661
215	0.1744370651
216	0.173949763
217	0.1736304347
218	0.1734322993
219	0.1730398687
220	0.1728788122
221	0.1726253255
222	0.1723519389
223	0.1720866394
224	0.1717357763
225	0.1715500387
226	0.171319046
227	0.1711493683
228	0.170959549
229	0.1707614136
230	0.1704647954
231	0.1704155731
232	0.170245959
233	0.1699147797
234	0.1696431351
235	0.169445521
236	0.1692457835
237	0.1690150452
238	0.1688324229
239	0.1686248906
240	0.1683210754
241	0.1681420135
242	0.1678593699
243	0.1675900777
244	0.1673297501
245	0.1671379089
246	0.1668397013
247	0.1665476354
248	0.1662686539
249	0.1660212962
250	0.1657716878
