iter	Logloss
251	0.1654291789
252	0.165212148
253	0.1649289576
254	0.1647187297
255	0.1644281514
256	0.1643387858
257	0.1641721471
258	0.1639797465
259	0.1637613297
260	0.1636968231
261	0.1634842809
262	0.1632755915
263	0.1631231181
264	0.1627900569
265	0.1627131653
266	0.1624959819
267	0.1623153051
268	0.1620815786
269	0.1618829854
270	0.1615941874
271	0.1614602661
272	0.161166509
273	0.1610657883
274	0.1606791433
275	0.1603858185
276	0.1601174037
277	0.1598330688
278	0.1596246338
279	0.1594311778
280	0.1592274475
281	0.1589253108
282	0.1587799072
283	0.1586103312
284	0.158424263
285	0.1583913167
286	0.1581965892
287	0.1579784648
288	0.1577906672
289	0.1576238251
290	0.157343394
291	0.1570732371
292	0.1570138295
293	0.1567086156
294	0.1565365092
295	0.1563908132
296	0.1561507161
297	0.1560002645
298	0.1557450612
299	0.1555912272
300	0.1554233297
301	0.1553035355
302	0.1551189804
303	0.1549015808
304	0.1547155253
305	0.1545712789
306	0.15437898
307	0.1541760127
308	0.1540232086
309	0.1538204193
310	0.1534976705
311	0.1532876714
312	0.1530587896
313	0.1529501851
314	0.1528184001
315	0.1526822662
316	0.1524492518
317	0.1522868729
318	0.1519434865
319	0.1517680359
320	0.1516550318
321	0.1512139511
322	0.1509838613
323	0.1507925797
324	0.1504462941
325	0.1502586746
326	0.1500445302
327	0.1498778534
328	0.1495650864
329	0.1494266001
330	0.1492665863
331	0.1490859731
332	0.1488936615
333	0.1486948522
334	0.1484932963
335	0.1482780711
336	0.1481127294
337	0.1478423564
338	0.1476889165
339	0.1475470098
340	0.1473116175
341	0.1470816803
342	0.146927096
343	0.1466852697
344	0.1465713882
345	0.1462627411
346	0.1462198257
347	0.146147817
348	0.1460527802
349	0.1458470154
350	0.1457040151
351	0.1455397288
352	0.1453565089
353	0.145268809
354	0.145162468
355	0.1450358709
356	0.1449351247
357	0.1447883352
358	0.1445663325
359	0.1444372813
360	0.1442547226
361	0.144048055
362	0.1437316004
363	0.1435684458
364	0.1433181508
365	0.1431952031
366	0.1429501597
367	0.1427950541
368	0.1426470693
369	0.1423697027
370	0.1422671509
371	0.1421246592
372	0.142081426
373	0.1418356959
374	0.1416704051
375	0.1415056737
376	0.1413471603
377	0.1411558787
378	0.1409435145
379	0.1407178243
380	0.1405440521
381	0.1403848521
382	0.1402175395
383	0.1400592931
384	0.1399739583
385	0.1398687998
386	0.1397431946
387	0.1396050517
388	0.1394280243
389	0.1392453893
390	0.1390264893
391	0.1388400777
392	0.1387419128
393	0.1386855316
394	0.1385832342
395	0.1383976746
396	0.1381179047
397	0.1379630534
398	0.1379161835
399	0.1377426656
400	0.1375450643
401	0.1373670705
402	0.1372181447
403	0.1370855204
404	0.1369353358
405	0.1367540359
406	0.1364845403
407	0.1363421885
408	0.1361224365
409	0.1359076055
410	0.1358318329
411	0.1357062912
412	0.1354428609
413	0.1352842967
414	0.1351373037
415	0.1349953588
416	0.1348430379
417	0.1347301483
418	0.1345968755
419	0.1344088491
420	0.1343214925
421	0.134183019
422	0.1341281637
423	0.1339053345
424	0.1337090556
425	0.1335297521
426	0.1334379832
427	0.1331462987
428	0.1330456034
429	0.1327948634
430	0.1326947784
431	0.132592392
432	0.1324615987
433	0.1322306188
434	0.1321101125
435	0.1319684219
436	0.1318816249
437	0.1316643906
438	0.1314227422
439	0.1310413233
440	0.130938619
441	0.1308231227
442	0.1306656138
443	0.1305526988
444	0.1304097239
445	0.1303140513
446	0.1302826436
447	0.1301812871
448	0.129961497
449	0.1298029327
450	0.1296962992
451	0.1295231374
452	0.1293513743
453	0.1291003164
454	0.128823967
455	0.1286848831
456	0.1285775121
457	0.1284022776
458	0.1282405853
459	0.1281461461
460	0.128018926
461	0.1278385162
462	0.1277568309
463	0.1275240199
464	0.1273587418
465	0.1272784932
466	0.1271378199
467	0.1269413122
468	0.1268190384
469	0.1266580836
470	0.1262771606
471	0.1261661021
472	0.1260662842
473	0.1258857981
474	0.1257045364
475	0.12552447
476	0.1254356893
477	0.1252847799
478	0.1250455221
479	0.124948082
480	0.1249252319
481	0.1248375193
482	0.1247065735
483	0.1245418803
484	0.1243923187
485	0.1241750081
486	0.1240945689
487	0.1239723969
488	0.1238679123
489	0.1236836751
490	0.1235073344
491	0.1234244665
492	0.1233466848
493	0.1232266235
494	0.1231070328
495	0.1228061422
496	0.1227173233
497	0.1225600052
498	0.1223760605
499	0.1222648748
